2017-02-14 10:31:43 startup archives install
2017-02-14 10:31:43 install base-passwd:amd64 <none> 3.5.37
2017-02-14 10:31:43 status half-installed base-passwd:amd64 3.5.37
2017-02-14 10:31:43 status unpacked base-passwd:amd64 3.5.37
2017-02-14 10:31:43 status unpacked base-passwd:amd64 3.5.37
2017-02-14 10:31:43 configure base-passwd:amd64 3.5.37 3.5.37
2017-02-14 10:31:43 status unpacked base-passwd:amd64 3.5.37
2017-02-14 10:31:43 status half-configured base-passwd:amd64 3.5.37
2017-02-14 10:31:44 status installed base-passwd:amd64 3.5.37
2017-02-14 10:31:44 startup archives install
2017-02-14 10:31:44 install base-files:amd64 <none> 8+deb8u7
2017-02-14 10:31:44 status half-installed base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 configure base-files:amd64 8+deb8u7 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status unpacked base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status half-configured base-files:amd64 8+deb8u7
2017-02-14 10:31:44 status installed base-files:amd64 8+deb8u7
2017-02-14 10:31:44 startup archives install
2017-02-14 10:31:44 upgrade dpkg 1.17.27 1.17.27
2017-02-14 10:31:44 status half-configured dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status half-installed dpkg 1.17.27
2017-02-14 10:31:44 status half-installed dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 configure dpkg 1.17.27 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status unpacked dpkg 1.17.27
2017-02-14 10:31:44 status half-configured dpkg 1.17.27
2017-02-14 10:31:44 status installed dpkg 1.17.27
2017-02-14 10:31:44 startup archives install
2017-02-14 10:31:44 install libc6:amd64 <none> 2.19-18+deb8u7
2017-02-14 10:31:44 status half-installed libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 configure libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-02-14 10:31:45 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 status half-configured libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 status installed libc6:amd64 2.19-18+deb8u7
2017-02-14 10:31:45 startup archives install
2017-02-14 10:31:45 install perl-base:amd64 <none> 5.20.2-3+deb8u6
2017-02-14 10:31:45 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:46 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:46 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:46 configure perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-02-14 10:31:46 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:46 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:46 status installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:46 startup archives install
2017-02-14 10:31:46 install mawk:amd64 <none> 1.3.3-17
2017-02-14 10:31:46 status half-installed mawk:amd64 1.3.3-17
2017-02-14 10:31:46 status unpacked mawk:amd64 1.3.3-17
2017-02-14 10:31:46 status unpacked mawk:amd64 1.3.3-17
2017-02-14 10:31:46 configure mawk:amd64 1.3.3-17 1.3.3-17
2017-02-14 10:31:46 status unpacked mawk:amd64 1.3.3-17
2017-02-14 10:31:46 status half-configured mawk:amd64 1.3.3-17
2017-02-14 10:31:46 status installed mawk:amd64 1.3.3-17
2017-02-14 10:31:46 startup archives install
2017-02-14 10:31:46 install debconf:all <none> 1.5.56
2017-02-14 10:31:46 status half-installed debconf:all 1.5.56
